gene,logFC_non_primary_minus_primary,effect_size,pgnn_score,combined_score
GAL,-0.2747919794640644,0.2747919794640644,0.0024259668,0.0006666362147878127
EXTL3,1.5060963783163999,1.5060963783163999,0.00043916213,0.0006614204983989418
NUP42,-1.0748695419717238,1.0748695419717238,0.0006096613,0.0006553063384796947
NUP205,1.0687232409663452,1.0687232409663452,0.00061273604,0.000654845245808913
HS6ST2,1.2772456474396332,1.2772456474396332,0.00044007867,0.0005620885671811098
KDM3A,0.5298499393590486,0.5298499393590486,0.0010274287,0.0005443830139772681
NEFL,0.963234263662339,0.963234263662339,0.0005589862,0.0005384346724354648
FRZB,1.0620996848527227,1.0620996848527227,0.00050450733,0.0005358370804170811
GMDS,1.0639023541188235,1.0639023541188235,0.00050268957,0.0005348126136466215
GHRHR,-0.9458653148922661,0.9458653148922661,0.00055803877,0.0005278295131532677
FTH1,0.4758014570541243,0.4758014570541243,0.0010227499,0.00048662590674796797
ATP8B2,0.2700614026405519,0.2700614026405519,0.0017730758,0.00047883933286231513
GNAI1,0.050486383261122106,0.050486383261122106,0.008602464,0.000434307276332671
DNMT1,-0.2741797595909323,0.2741797595909323,0.001520772,0.0004169649010543401
AHCY,-0.09908244926064891,0.09908244926064891,0.0035446892,0.0003512164834555423
NANP,-0.6535772270823039,0.6535772270823039,0.0005040293,0.0003294220555649559
TYMS,0.7002256726370322,0.7002256726370322,0.00044323588,0.0003103651448161641
PARP14,-0.5183578569071021,0.5183578569071021,0.00058338675,0.00030240310400923983
HS2ST1,0.6757059045046347,0.6757059045046347,0.00043683886,0.00029517459822702737
SIN3A,0.5837824779433088,0.5837824779433088,0.0005048772,0.00029473845437846314
SERINC1,-0.40998689565620894,0.40998689565620894,0.00067285704,0.00027586257079848615
TBX3,-0.5478993332844317,0.5478993332844317,0.00050317316,0.0002756882367953235
HTRA2,-0.2710353564108015,0.2710353564108015,0.0009563271,0.00025919844889824966
GSS,-0.06790538623755027,0.06790538623755027,0.0037975367,0.0002578731974421002
NDST1,0.5374104111252145,0.5374104111252145,0.00044154996,0.00023729354394055692
NUP160,0.36637206278386425,0.36637206278386425,0.0006081203,0.00022279828442108344
HS3ST4,0.5028232098931584,0.5028232098931584,0.00043901053,0.00022074468457982996
MOAP1,0.02394391716155932,0.02394391716155932,0.007144987,0.00017107897966180726
TXNDC12,-0.18533306247015766,0.18533306247015766,0.000893367,0.00016557043993446755
HYCC1,0.3115985012981551,0.3115985012981551,0.0005164172,0.00016091482664616814
PAX8,0.33998373865707027,0.33998373865707027,0.00044603544,0.0001516447962544292
MPDU1,0.28400186443780157,0.28400186443780157,0.00050336577,0.0001429568158466668
NAGK,-0.27517340715098715,0.27517340715098715,0.0005038176,0.00013863719819716134
NUP54,-0.20393644543118963,0.20393644543118963,0.0006071546,0.00012382095567021366
GRB10,-0.1370454550089649,0.1370454550089649,0.0008879736,0.00012169274375975435
MED23,0.22153080732329689,0.22153080732329689,0.00050547154,0.00011197751919349156
HNF1B,-0.207371254178648,0.207371254178648,0.0005037517,0.00010446361811532645
JMJD8,0.1286469574618725,0.1286469574618725,0.00078529224,0.00010102545773580487
NPAS2,-0.16434423457448682,0.16434423457448682,0.0005080014,8.348710509814015e-05
MUC4,-0.0916290315198569,0.0916290315198569,0.000737736,6.759803534492515e-05
CACNA1H,0.011892028664614428,0.011892028664614428,0.005249016,6.242144857746493e-05
MIGA2,-0.11207132841300098,0.11207132841300098,0.0005561526,6.232876124113002e-05
DSE,-0.10458164398870147,0.10458164398870147,0.00044009037,4.602537448501419e-05
ACBD6,-0.032389508882061865,0.032389508882061865,0.0012362554,4.004170516450544e-05
FOXK1,0.061953072083363765,0.061953072083363765,0.0005180871,3.209708888008965e-05
ID1,0.00787278231817378,0.00787278231817378,0.003079314,2.424276895040418e-05
NAXE,0.01451349626635369,0.01451349626635369,0.0015855907,2.3012464024043784e-05
INPP4A,-0.021344350738965127,0.021344350738965127,0.0005233421,1.1170397566872869e-05
